Id	SRR3033158	SRR3033159	SRR3033160	SRR3033164	SRR3033165	SRR3033166	SRR3033161	SRR3033162	SRR3033163	SRR3033167	SRR3033168	norm.SRR3033158	norm.SRR3033159	norm.SRR3033160	norm.SRR3033164	norm.SRR3033165	norm.SRR3033166	norm.SRR3033161	norm.SRR3033162	norm.SRR3033163	norm.SRR3033167	norm.SRR3033168	baseMean	WT	codY	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LMRG_RS00005	4124	4140	2944	5284	6068	4848	2833	2796	2037	4869	5432	5306	5374	4642	3925	4010	3536	3532	3473	2925	3182	3732	3967.07	4466	3369	0.755	-0.406	-2.863	0.00420140352835857	0.0433327239822675	0.0199	0.1969	0.0261	0.0261	TRUE	0.0872
LMRG_RS00010	5221	5151	3582	5496	6556	4809	4312	4019	3110	4655	5402	6717	6687	5648	4083	4333	3508	5375	4993	4466	3042	3711	4778.42	5163	4317	0.836	-0.258	-1.106	0.26851506119066	0.653731983604312	0.061	0.1968	0.0709	0.0709	TRUE	0.1026
LMRG_RS00015	174	155	160	253	251	283	155	150	142	211	276	224	201	252	188	166	206	193	186	204	138	190	195.33	206	182	0.884	-0.178	-1.159	0.24634227790161	0.633451571746998	0.0171	0.203	0.0254	0.0254	TRUE	0.2283
LMRG_RS00020	689	867	618	1230	1512	1102	481	487	404	1004	1400	886	1125	974	914	999	804	600	605	580	656	962	827.81	950	681	0.718	-0.479	-2.9	0.00373493445043856	0.0402859723547304	0.0272	0.1981	0.0344	0.0344	TRUE	0.6571
LMRG_RS00025	2464	2484	2043	6646	7513	5507	1596	1439	1350	5049	6968	3170	3225	3221	4937	4965	4017	1990	1788	1939	3299	4787	3394.33	3922	2761	0.704	-0.507	-1.703	0.0885839695894006	0.359165420458603	0.1209	0.1969	0.1156	0.1156	TRUE	0.8592
LMRG_RS00030	5012	4929	4942	10560	12501	9008	4377	4101	3639	7326	11017	6449	6398	7792	7845	8261	6570	5456	5095	5226	4787	7569	6495.38	7219	5627	0.779	-0.359	-2.418	0.0156214478693559	0.110920129846231	0.0246	0.1968	0.0288	0.0288	TRUE	0.4653
LMRG_RS00035	11428	11987	10508	14664	18620	12212	11679	10621	9471	11168	16851	14703	15560	16569	10894	12305	8907	14559	13194	13601	7298	11578	12651.66	13156	12046	0.916	-0.127	-0.557	0.577390412597875	0.874383790320334	0.0498	0.1967	0.0682	0.0682	TRUE	0.364
LMRG_RS00040	800	849	652	2083	2647	2412	799	825	662	2616	2558	1029	1102	1028	1547	1749	1759	996	1025	951	1709	1757	1332.18	1369	1288	0.941	-0.088	-0.341	0.732834520000886	0.924744929675031	0.0734	0.1975	0.0871	0.0871	TRUE	0.1636
LMRG_RS00045	367	384	291	838	1039	898	542	499	399	991	966	472	498	459	623	687	655	676	620	573	648	664	597.59	566	636	1.121	0.165	1.173	0.240619304510049	0.624990950868933	0.0173	0.1987	0.0241	0.0241	TRUE	0.1326
LMRG_RS00050	500	429	478	1340	1708	1461	371	415	326	1682	1604	643	557	754	995	1129	1066	462	516	468	1099	1102	799.19	857	729	0.851	-0.232	-0.706	0.479979948063587	0.82617966922473	0.1348	0.1982	0.1401	0.1401	TRUE	0.1561
