Id	SRR3033158	SRR3033159	SRR3033160	SRR3033164	SRR3033165	SRR3033166	SRR3033161	SRR3033162	SRR3033163	SRR3033167	SRR3033168	norm.SRR3033158	norm.SRR3033159	norm.SRR3033160	norm.SRR3033164	norm.SRR3033165	norm.SRR3033166	norm.SRR3033161	norm.SRR3033162	norm.SRR3033163	norm.SRR3033167	norm.SRR3033168	baseMean	WT	codY	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LMRG_RS06365	3497	3262	2541	3747	4136	2776	16	10	16	16	13	4499	4234	4007	2784	2733	2025	20	12	23	10	9	1850.62	3380	15	0.004	-7.88	-23.711	2.75051056957791e-124	7.77294286962716e-121	0.0868	0.1973	0.1061	0.1061	TRUE	0.0972
LMRG_RS04895	1297	1610	972	2782	3321	2176	606	622	661	1187	1044	1669	2090	1533	2067	2195	1587	755	773	949	776	717	1373.66	1857	794	0.427	-1.228	-8.813	1.21945238060678e-18	4.9231034679925e-16	0.0183	0.1975	0.0244	0.0244	TRUE	0.0853
LMRG_RS02365	364	356	273	683	821	478	167	212	156	342	339	468	462	430	507	543	349	208	263	224	223	233	355.59	460	230	0.5	-0.999	-7.298	2.91356313010068e-13	5.14608087854033e-11	0.0146	0.2001	0.0211	0.0211	TRUE	0.1768
LMRG_RS03410	2653	2467	2200	6414	6094	5335	1557	1576	1441	2741	3497	3413	3202	3469	4765	4027	3891	1941	1958	2069	1791	2403	2993.65	3794	2032	0.535	-0.901	-6.805	1.0091069044321e-11	1.37300848671663e-09	0.0176	0.197	0.0226	0.0226	TRUE	0.1953
LMRG_RS04900	8238	9376	5601	16125	20319	11706	2918	2997	3734	7763	8204	10599	12171	8832	11979	13428	8538	3638	3723	5362	5073	5637	8089.03	10924	4687	0.429	-1.221	-6.634	3.25883171726304e-11	3.83727434707723e-09	0.0355	0.1967	0.0442	0.0442	TRUE	0.0871
LMRG_RS04905	24407	22172	12795	31124	39403	21941	5227	6094	6518	16120	17484	31402	28782	20175	23122	26040	16004	6516	7570	9360	10534	12013	17410.62	24254	9199	0.379	-1.399	-6.205	5.48349751801741e-10	5.34357378824731e-08	0.056	0.1966	0.0665	0.0665	TRUE	0.1101
LMRG_RS03430	1049	910	760	2279	1563	1553	441	514	439	508	789	1350	1181	1198	1693	1033	1133	550	639	630	332	542	934.61	1265	539	0.425	-1.234	-6.084	1.16996129623937e-09	1.10210354105748e-07	0.0444	0.1979	0.0525	0.0525	TRUE	0.5663
LMRG_RS08590	7596	7464	4034	11374	12260	9457	3909	3669	2725	6322	7382	9773	9689	6361	8450	8102	6898	4873	4558	3913	4131	5072	6529.06	8212	4509	0.549	-0.865	-5.907	3.47614625004236e-09	3.06987165706866e-07	0.0212	0.1968	0.0279	0.0279	TRUE	0.0906
LMRG_RS03390	1287	1261	967	1978	2175	1951	860	896	825	1539	1715	1656	1637	1525	1469	1437	1423	1072	1113	1185	1006	1178	1336.48	1524	1111	0.729	-0.456	-5.897	3.70692189543008e-09	3.17447311408649e-07	0.0035	0.1975	0.007	0.007	TRUE	0.0363
LMRG_RS01835	11230	7739	4560	8921	9403	7414	1265	1425	1305	3721	5420	14449	10046	7190	6627	6214	5408	1577	1770	1874	2431	3724	5573.69	8322	2275	0.273	-1.87	-5.775	7.69997215531466e-09	6.40003567968213e-07	0.1318	0.1968	0.1372	0.1372	TRUE	0.3256
LMRG_RS06905	14746	14562	9254	20714	17532	13615	5626	5278	3962	11029	11798	18972	18903	14592	15388	11586	9931	7013	6557	5690	7207	8106	11267.69	14895	6915	0.464	-1.107	-5.593	2.23208982546127e-08	1.65996995967199e-06	0.0415	0.1967	0.0512	0.0512	TRUE	0.0868
LMRG_RS03240	804	746	534	1357	1504	1287	416	437	354	1078	1016	1034	968	842	1008	994	939	519	543	508	704	698	796.17	964	594	0.619	-0.693	-5.572	2.52140142506162e-08	1.82704626339081e-06	0.0133	0.1982	0.0188	0.0188	TRUE	0.13
LMRG_RS14055	6064	6407	5040	4132	4037	4778	856	813	484	2944	1965	7802	8317	7947	3070	2668	3485	1067	1010	695	1924	1350	3575.86	5548	1209	0.218	-2.197	-5.542	2.98452031422733e-08	2.05713522146499e-06	0.1986	0.1969	0.2054	0.2054	TRUE	0.0616
LMRG_RS03405	1840	1699	1451	3808	3915	3312	1312	1163	1096	2172	2797	2367	2205	2288	2829	2587	2416	1636	1445	1574	1419	1922	2062.54	2449	1599	0.653	-0.615	-5.536	3.08753302959095e-08	2.07746865276763e-06	0.0112	0.1972	0.0156	0.0156	TRUE	0.16
LMRG_RS04005	652	711	637	4608	3207	1930	327	306	340	456	468	839	923	1004	3423	2119	1408	408	380	488	298	322	1055.65	1619	379	0.234	-2.096	-5.444	5.20428479807016e-08	3.1972410520318e-06	0.1919	0.1978	0.1925	0.1925	TRUE	0.3052
LMRG_RS10560	5579	4305	827	166	116	162	52	45	33	124	97	7178	5588	1304	123	77	118	65	56	47	81	67	1336.76	2398	63	0.026	-5.246	-5.32	1.03716470161996e-07	5.74711264074118e-06	1.4487	0.1975	1.2647	1.2647	TRUE	0.08
LMRG_RS09240	1415	1453	1184	2308	2587	2348	1156	1082	897	2297	2118	1821	1886	1867	1715	1710	1713	1441	1344	1288	1501	1455	1612.72	1785	1406	0.79	-0.34	-5.257	1.46463785025432e-07	7.52557557239767e-06	0.0021	0.1974	0.0048	0.0048	TRUE	0.0259
