Id	SRR3033158	SRR3033159	SRR3033160	SRR3033164	SRR3033165	SRR3033166	SRR3033161	SRR3033162	SRR3033163	SRR3033167	SRR3033168	norm.SRR3033158	norm.SRR3033159	norm.SRR3033160	norm.SRR3033164	norm.SRR3033165	norm.SRR3033166	norm.SRR3033161	norm.SRR3033162	norm.SRR3033163	norm.SRR3033167	norm.SRR3033168	baseMean	WT	codY	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LMRG_RS02575	212	168	185	363	375	369	579	630	799	1231	1045	273	218	292	270	248	269	722	783	1147	804	718	522.12	262	835	3.19	1.673	10.849	2.02048315232363e-27	2.85494269423329e-24	0.0224	0.199	0.0287	0.0287	TRUE	0.5182
LMRG_RS02620	1183	1122	790	1695	2224	2130	2306	2071	2286	4728	4118	1522	1456	1246	1259	1470	1554	2875	2573	3283	3089	2829	2105.07	1418	2930	2.065	1.046	10.544	5.41944981692371e-26	5.10512172754213e-23	0.008	0.1972	0.0124	0.0124	TRUE	0.0569
LMRG_RS02775	1152	949	785	1884	3388	2349	3685	3696	3941	9005	8560	1482	1232	1238	1400	2239	1713	4594	4591	5659	5884	5881	3264.9	1551	5322	3.43	1.778	9.636	5.65748631241525e-22	3.99701407972138e-19	0.0402	0.197	0.0442	0.0442	TRUE	0.3617
LMRG_RS02695	3815	3115	2406	6868	7849	7364	12966	12169	15472	22513	16596	4908	4044	3794	5102	5187	5371	16163	15117	22219	14711	11402	9819.89	4734	15922	3.362	1.749	9.508	1.94497356009478e-21	1.09929905616557e-18	0.0377	0.1967	0.0442	0.0442	TRUE	0.2302
LMRG_RS02770	427	280	339	708	1228	911	1472	1617	1979	4400	4163	549	363	535	526	812	664	1835	2009	2842	2875	2860	1442.77	575	2484	4.316	2.11	9.321	1.15557759663222e-20	5.44277048013775e-18	0.056	0.1974	0.0661	0.0661	TRUE	0.1388
LMRG_RS09095	26	20	13	37	36	47	165	152	127	141	151	33	26	20	27	24	34	206	189	182	92	104	85.29	27	155	5.539	2.47	8.662	4.63872300893549e-18	1.63862890290646e-15	0.0754	0.2114	0.0862	0.0862	TRUE	0.0504
LMRG_RS12355	145	96	137	401	427	471	700	790	744	1807	1419	187	125	216	298	282	344	873	981	1068	1181	975	593.54	242	1016	4.183	2.065	8.316	9.06554389233807e-17	2.84658078219415e-14	0.0693	0.1987	0.0782	0.0782	TRUE	0.6161
LMRG_RS06375	221	230	167	362	371	371	341	337	281	656	649	284	299	263	269	245	271	425	419	404	429	446	341.16	272	425	1.572	0.653	8.196	2.4937113205856e-16	7.04722819197492e-14	0	0.2003	0.0053	0.0053	TRUE	0.0309
LMRG_RS06370	290	258	237	411	461	395	461	515	473	844	816	373	335	374	305	305	288	575	640	679	552	561	453.24	330	601	1.828	0.871	7.896	2.86908243981904e-15	7.37093361357146e-13	0.0078	0.1994	0.0136	0.0136	TRUE	0.0609
LMRG_RS11115	3887	4131	3106	6228	8027	5643	6770	6342	6437	12328	15022	5001	5362	4897	4627	5305	4116	8439	7879	9244	8056	10321	6658.81	4885	8788	1.799	0.847	7.839	4.54278356182279e-15	1.06982552880927e-12	0.0106	0.1968	0.0152	0.0152	TRUE	0.1191
