east north
670.204875 111.761
663.718688 107.051
656.066688 105.242
649.971438 100.7915
642.634563 97.993
635.271688 101.1545
628.742125 105.5405
622.755875 110.7495
617.270813 116.397
610.457 120.5795
604.42175 119.667
600.262 121.898
592.621 119.9675
585.444625 120.177
581.92875 115.782
574.871563 119.532
567.99075 115.8975
565.6725 110.499
560.5745 117.333
553.86975 120.929
546.261688 121.4415
542.435063 119.9445
537.837375 117.39
534.376563 110.527
529.409438 104.375
528.1835 97.7945
520.268156 98.896
513.789781 97.3895
509.833156 94.0785
505.105344 94.73
499.977219 98.2715
491.988906 98.26
486.094406 93.482
478.869313 90.0065
474.045719 83.768
470.925344 76.4215
473.2195 69.7315
476.876406 62.9205
476.248156 55.255
468.888031 52.0755
462.077594 49.4895
457.88275 46.7695
453.517656 53.727
448.93925 59.958
440.925281 58.8065
433.288844 60.247
425.385563 60.1965
417.613313 58.7055
409.689906 58.782
402.012969 61.107
395.090313 64.9245
388.905156 70.0245
381.620781 72.88
373.674125 73.6025
365.810969 74.997
358.028781 75.2305
350.718188 77.7445
343.347406 78.171
336.159188 80.7555
329.237156 84.688
321.329844 84.1965
313.663188 83.564
305.80225 83.2995
298.281313 82.2695
290.861594 80.292
284.227281 84.5905
277.077844 87.9925
271.504219 93.4435
263.543781 94.249
256.520563 90.7505
248.8575 88.96
241.656109 92.3015
235.520094 96.4505
231.700766 103.246
226.547563 109.2565
225.8555 116.906
219.657406 122.0885
216.403594 128.354
215.340656 136.198
216.788484 143.92
213.318719 151.001
212.552734 158.5445
206.664047 163.667
201.807359 166.2495
199.6235 167.25
192.151453 169.1685
187.422156 165.457
188.983141 173.248
184.399016 174.298
178.437156 169.808
174.949359 168.851
170.373547 169.669
163.837438 165.8305
157.839297 161.0635
155.134688 154.883
150.051703 161.614
144.086359 164.554
138.815359 167.945
138.297594 176.129
137.987281 183.5995
144.653203 179.9475
149.781453 181.639
148.382547 189.343
153.388125 190.8625
159.686078 188.6405
155.62975 192.2815
153.212984 196.7395
154.687313 201.929
157.737141 202.4355
163.658594 198.6235
160.675313 201.474
164.211328 207.0945
172.130047 206.12
165.728922 207.3115
158.935609 205.5975
157.750344 210.408
159.271844 213.2685
158.399938 216.1175
155.783297 220.7955
157.487594 222.779
158.247594 224.8275
162.589 225.788
165.391719 228.3695
157.077922 228.715
157.754734 233.218
160.412781 242.7005
162.614203 248.682
166.648797 249.457
163.022797 253.9695
163.530688 258.6515
166.652172 265.281
171.481313 265.8665
171.281031 266.8735
165.928656 272.053
165.506375 279.341
165.3565 286.609
167.316813 293.7815
170.03325 301.3105
167.977563 309.0375
163.491438 315.479
161.473719 323.254
163.997516 330.385
170.930609 334.1935
178.861531 335.4215
185.087641 340.129
190.730766 345.8245
190.762938 353.308
193.086672 360.851
195.451828 368.452
198.341609 375.9125
200.613078 383.465
203.828609 390.732
204.428203 398.7125
208.680922 405.3755
214.333047 411.065
221.180953 415.045
224.122406 422.3715
226.760719 429.8395
229.690422 437.277
231.72975 444.9855
231.220078 453.0285
235.038641 459.9115
240.402063 465.8625
247.119406 470.151
254.061875 474.1165
261.190891 477.7425
268.550156 480.8905
275.370188 485.017
282.111844 489.3505
287.672 495.0075
293.985563 499.934
301.211688 503.1085
307.937906 499.2055
315.517 496.7625
323.409656 495.3895
331.151406 496.865
336.672156 500.318
343.911 497.055
351.417813 497.705
356.621688 494.4745
362.441 496.3685
367.828219 491.1985
368.792531 491.6935
375.514781 489.49
381.666813 493.9795
383.534469 501.523
387.002438 507.9295
394.258938 504.9965
396.523313 497.152
396.644688 503.3365
402.613531 502.907
408.970906 498.0905
416.527875 497.7135
423.576406 496.94
430.054938 493.1595
437.537875 492.287
444.892563 489.9165
452.482813 492.5375
459.560219 493.548
464.211406 490.967
465.268031 483.0055
467.336875 482.201
465.45875 490.2815
472.983781 491.8335
476.725063 484.8545
480.198531 482.781
478.720594 474.8165
479.167094 473.0705
480.899469 480.3425
482.783188 472.1715
483.727938 468.8685
483.194875 476.651
485.376531 481.32
488.530688 474.7985
491.747375 475.4645
494.156156 479.503
499.878813 474.766
496.505469 470.4505
499.45075 467.3145
502.862656 465.864
