strate;longitude;latitude;BH;totconsum;depth;temperature
1;-63.13966667;46.48;1;0.3092833332;28.75;7.325
2;-63.46128571;46.017;0;0.3674185716;17.5;15.83333333
3;-61.72504762;45.82909524;1;0.6012014282;33.33333333;9.055555556
4;-63.55192308;48.30130769;0;0.0587930767999996;102.7;2.02
5;-64.05425;47.74525;1;0.1299;68.5;0.56
6;-64.6225;47.17483333;1;0.104470000000000;26;8.45
7;-62.34433333;48.12177778;1;0.107429999800000;64.66666667;0.166666667
8;-62.88355;46.96025;1;0.117528000000000;59;0.15
9;-62.22313333;46.025;0;0.6946589528;28.14285714;12.88571429
10;-61.97335714;46.83185714;1;0.1451857144;52.125;1.75
11;-61.3178;46.9546;1;0.269158;49.875;2.025
12;-62.25828571;47.71192857;1;0.112205238600000;58.33333333;0.316666667
13;-62.94818182;47.764;1;0.100442727200000;67.375;-0.175
14;-62.754875;47.377875;1;0.098075;58.7;0.64
15;-63.57711765;48.85405882;0;0.310951961;275.0833333;4.95
16;-63.6531;48.5936;0;0.150746000000000;152.5;2.933333333
17;-64.1185;48.28058333;0;0.0276300000000000;82.75;1.325
18;-64.7534;48.0548;0;0.0502339999999997;48.625;2.65
19;-65.5575;47.9307;1;0.0820699999999999;42.5;1.5
20;-64.42345455;47.74918182;1;0.213431818;25.875;7.775
21;-64.4489;46.9105;0;0.211414;25;6.4
22;-64.248;47.17127273;1;0.25655;43.1;2.12
23;-63.54652941;47.44147059;1;0.0610088235999999;64.07142857;0.214285714
24;-63.24716667;48.08895833;1;0.0801083332000001;69.3125;0.15
25;-61.87871429;48.27678571;0;0.2103214284;295.9;5.34
26;-62.092375;48.241;0;0.294841667;132.1666667;3.4
27;-61.63363636;47.97609091;0;0.2002745456;55.625;0.45
28;-61.95311111;47.57166667;1;0.1680788886;34.5;0.52
29;-63.52717647;46.82717647;1;0.2583829412;38.4;4.88
30;-60.49185;47.6525;0;0.400696;273.4375;5.5125
31;-62.5824;46.7203;1;0.122145429;54.07142857;0.985714286
32;-62.73436364;45.89445455;0;0.2059954544;27;13.95
33;-61.75374194;46.17254839;1;0.2827203224;44.72727273;3.918181818
34;-61.54183333;46.56825;1;0.1939966668;53.7;2.46
35;-61.4412;47.323;1;0.676422;27.8;9.42
36;-60.91685714;47.45952381;1;0.2201957144;58.92857143;1.742857143
37;-60.73525;47.043125;1;0.41196;149.75;3.48
38;-60.53366667;47.61544;1;0.2631900002;97.66666667;1.8
